K	Error
1	0.2676056338028169
3	0.19718309859154928
5	0.1936619718309859
7	0.16549295774647887
9	0.15492957746478872
11	0.1619718309859155
13	0.16901408450704225
15	0.16549295774647887
17	0.17253521126760563
19	0.1619718309859155
21	0.15845070422535212
23	0.16549295774647887
25	0.15492957746478872
27	0.15845070422535212
29	0.15845070422535212
31	0.16549295774647887
33	0.1619718309859155
35	0.16549295774647887
37	0.16549295774647887
39	0.16549295774647887
41	0.15492957746478872
43	0.1619718309859155
45	0.1619718309859155
47	0.1619718309859155
49	0.1619718309859155
51	0.16549295774647887
53	0.16901408450704225
55	0.16901408450704225
57	0.16901408450704225
59	0.16549295774647887
61	0.16901408450704225
63	0.16549295774647887
65	0.16901408450704225
67	0.17253521126760563
69	0.17253521126760563
71	0.176056338028169
73	0.176056338028169
75	0.176056338028169
77	0.176056338028169
79	0.1795774647887324
81	0.1795774647887324
83	0.1795774647887324
85	0.1795774647887324
87	0.1795774647887324
89	0.176056338028169
91	0.18309859154929578
93	0.18661971830985916
95	0.18661971830985916
97	0.18661971830985916
99	0.1936619718309859
101	0.19718309859154928
103	0.19718309859154928
105	0.20422535211267606
107	0.20422535211267606
109	0.19718309859154928
111	0.20422535211267606
113	0.2007042253521127
115	0.20422535211267606
117	0.20422535211267606
119	0.20774647887323944
121	0.20774647887323944
123	0.2112676056338028
125	0.21830985915492956
127	0.22887323943661972
129	0.22887323943661972
131	0.2323943661971831
133	0.2323943661971831
135	0.23591549295774647
137	0.23943661971830985
139	0.24295774647887325
141	0.24647887323943662
143	0.25
145	0.2535211267605634
147	0.2605633802816901
149	0.2605633802816901
151	0.2605633802816901
153	0.27816901408450706
155	0.27816901408450706
157	0.27816901408450706
159	0.28169014084507044
161	0.29225352112676056
163	0.29225352112676056
165	0.29577464788732394
167	0.2992957746478873
169	0.30633802816901406
171	0.31338028169014087
173	0.31338028169014087
175	0.31338028169014087
177	0.31690140845070425
179	0.3204225352112676
181	0.3274647887323944
183	0.33098591549295775
185	0.33098591549295775
187	0.33098591549295775
189	0.3345070422535211
191	0.3380281690140845
193	0.3415492957746479
195	0.3485915492957746
197	0.352112676056338
199	0.35563380281690143
201	0.35563380281690143
203	0.35563380281690143
205	0.35563380281690143
